filename,n_nodes,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
2272,79,957.4116158649441,0.007730,1051.1286390206078,0.017795,0.025524
2273,99,1082.464528940599,0.012354,1202.5744277169927,0.034107,0.046461
2274,60,903.0751479241044,0.004503,877.0375596078052,0.008006,0.012509
2275,75,831.3034426293691,0.007024,754.8484225517328,0.015166,0.022191
2276,66,882.9212462680291,0.005377,945.165838721404,0.010402,0.015779
2277,69,894.7753018238503,0.006027,1015.8605138842646,0.012350,0.018379
2278,80,916.9652968257533,0.008015,944.1541797160163,0.018418,0.026433
2279,64,822.8146802857602,0.005111,884.1282450220252,0.009662,0.014773
2280,100,1104.7032184623442,0.012663,1205.02453140558,0.035520,0.048183
2281,67,901.3767254063167,0.005619,880.3744265595574,0.011136,0.016755
2282,86,995.3649255604448,0.009344,1120.8382666556795,0.022835,0.032179
2283,49,763.5441895398357,0.002988,786.5195578772668,0.004598,0.007586
2284,99,1064.4323363963022,0.012308,1106.2293341364866,0.034293,0.046601
2285,67,843.2838617997019,0.005636,862.6522401155495,0.011117,0.016754
2286,75,885.513413251813,0.007009,974.8760909937321,0.015210,0.022220
2287,56,758.8202367581114,0.003896,736.4917880634646,0.006603,0.010499
2288,31,615.3239787339552,0.001193,622.9658855437044,0.001282,0.002475
2289,67,854.2942304571272,0.005575,979.1419036003584,0.010967,0.016542
2290,33,548.2516123274022,0.001341,666.8423507350178,0.001566,0.002908
2291,100,1030.362702503981,0.012712,1221.356766724213,0.035346,0.048058
2292,21,381.13768798131036,0.000564,401.29621549688255,0.000469,0.001033
2293,68,936.0311576547111,0.005713,945.5504746189933,0.011618,0.017332
2294,48,736.9314046330386,0.002843,732.729019336994,0.004302,0.007145
2295,58,755.078135979898,0.004271,789.0660552903573,0.007301,0.011571
2296,20,531.0082169954308,0.000493,523.9611578715013,0.000428,0.000921
2297,48,736.7937233337686,0.002842,663.8151364647636,0.004402,0.007245
2298,42,847.617980509721,0.002160,835.6664656669062,0.002966,0.005126
2299,81,930.1818358445441,0.008137,851.2874719917146,0.019019,0.027157
2300,34,677.2337506909876,0.001435,752.124436978583,0.001709,0.003144
2301,67,859.1671244699579,0.005538,936.790511253045,0.010944,0.016482
2302,51,786.9956026031778,0.003189,823.7323456648386,0.005151,0.008340
2303,25,521.612640478673,0.000771,501.39571018377853,0.000734,0.001505
2304,62,880.4221631817829,0.004772,850.5325269372547,0.008908,0.013680
2305,65,842.2587083595566,0.005256,896.9298638091478,0.010063,0.015319
2306,76,947.2612132438973,0.007236,839.2851960820741,0.015796,0.023031
2307,66,832.7039972272368,0.005390,929.8081689660532,0.010530,0.015920
2308,34,632.7444066070818,0.001471,555.4199822404063,0.001674,0.003146
2309,69,902.141481629764,0.005927,1120.6414190842318,0.011988,0.017916
2310,75,981.2004236152073,0.007051,1065.4438340472743,0.015257,0.022308
2311,43,687.4361905018907,0.002303,686.7074447976676,0.003177,0.005479
2312,87,1019.035508820947,0.009491,1043.847328843268,0.023377,0.032868
2313,81,918.8702524452402,0.008248,938.5454382631777,0.019042,0.027290
2314,44,637.8423311547034,0.002413,736.7528632235043,0.003367,0.005780
2315,94,939.2130393598279,0.011123,997.5594630555752,0.029106,0.040229
2316,34,681.4453802023645,0.001430,659.5265036050073,0.001679,0.003109
2317,74,943.4600262239815,0.006845,1055.9781792443334,0.014729,0.021574
2318,66,836.840833068612,0.005471,917.4729396354758,0.010612,0.016083
2319,68,935.8537988969725,0.005769,915.1263937494624,0.011579,0.017348
2320,68,925.0546700628089,0.005767,965.8451068014332,0.011602,0.017369
2321,100,1089.2514632448558,0.012633,1223.0336310964867,0.035084,0.047717
2322,95,1071.5546015219277,0.011316,1039.076532481007,0.030240,0.041556
2323,46,598.6631688877546,0.002625,638.7745291547205,0.003836,0.006461
2324,44,743.7681859020149,0.002390,870.6895538823157,0.003366,0.005756
2325,83,960.9505626380237,0.008601,975.8589727808779,0.020354,0.028955
2326,99,1114.4625558849245,0.012349,1194.1010519162166,0.034519,0.046868
2327,41,654.5921470379006,0.002084,691.9881984313712,0.002824,0.004908
2328,42,726.3309770976879,0.002188,752.7842394558911,0.002990,0.005178
2329,46,680.7601143298506,0.002637,694.5236526481418,0.003783,0.006420
2330,39,715.6838045624802,0.001880,611.1561509609402,0.002389,0.004269
2331,55,818.5501371207507,0.003705,823.95113342829,0.006329,0.010034
2332,96,994.0624759358742,0.011642,1006.2445747858269,0.031388,0.043030
2333,47,717.7322279056789,0.002724,821.8778815374437,0.004051,0.006776
2334,92,1094.1616690262733,0.010677,1107.3867736456784,0.027614,0.038291
2335,100,1103.1139443239229,0.012607,1144.0701311098683,0.035100,0.047707
2336,28,582.730817931167,0.001014,590.1936480967089,0.001077,0.002092
2337,37,571.2612271581557,0.001695,548.6170398191058,0.002084,0.003779
2338,99,992.5275698912,0.012310,1188.7837389001363,0.034236,0.046546
2339,97,1060.410378447004,0.011831,1060.2550369146452,0.031874,0.043704
2340,43,733.9428260743667,0.002311,782.1142021479391,0.003192,0.005503
2341,71,947.7643149494776,0.006214,969.54114411214,0.013297,0.019511
2342,40,650.0722102402065,0.001986,783.3644751709556,0.002644,0.004630
2343,96,1061.0890612255703,0.011733,1134.7060541078945,0.031327,0.043061
2344,64,864.2698137985666,0.005098,982.4414957076457,0.009750,0.014849
2345,24,524.6881919710662,0.000712,659.551483157816,0.000662,0.001374
2346,81,918.9931848238766,0.008181,895.3112757817291,0.019033,0.027214
2347,48,723.9240059419297,0.002862,630.3580765093636,0.004318,0.007180
2348,27,583.0335031624097,0.000905,530.8796341250879,0.000896,0.001801
2349,80,1002.5874922303325,0.008051,971.6492348296808,0.018527,0.026578
2350,26,602.6713403514099,0.000865,605.9641252078112,0.000810,0.001675
2351,28,559.8575811346816,0.000972,604.7029221975467,0.000984,0.001956
2352,77,955.1309981815488,0.007395,941.3863014545474,0.016620,0.024016
2353,92,1032.9272986515657,0.010589,1105.4713691961326,0.027672,0.038262
2354,31,578.5530985096259,0.001182,635.4599359158897,0.001285,0.002467
2355,89,957.4556245196072,0.009891,953.8937918392533,0.025107,0.034998
2356,21,507.3096678521679,0.000578,533.6694247244436,0.000503,0.001081
2357,72,960.250291306643,0.006425,975.4747810890411,0.013659,0.020084
2358,52,758.6724746145887,0.003335,722.9922825669321,0.005382,0.008717
2359,34,595.4318443420166,0.001428,579.2708861269351,0.001665,0.003094
2360,79,926.8608818706332,0.007752,846.486168621008,0.017657,0.025409
2361,66,829.2015341109412,0.005426,809.9670351003898,0.010729,0.016155
2362,31,679.4716234115753,0.001168,567.6194387647416,0.001325,0.002493
2363,91,954.8051356350448,0.010313,1173.4176965862343,0.026645,0.036959
2364,69,887.7315792126522,0.005871,1065.3615828621419,0.012060,0.017931
2365,53,728.6965715137494,0.003450,785.0328563069205,0.005660,0.009109
2366,41,690.3710211773006,0.002067,732.9999557102129,0.002827,0.004894
2367,38,555.5475647292355,0.001766,564.3127964724677,0.002264,0.004030
2368,63,866.8789595889402,0.004872,870.4094608536843,0.009193,0.014064
2369,73,930.408817610519,0.006585,997.2577646255414,0.014206,0.020791
2370,59,835.4305159961627,0.004299,779.9313566631673,0.007670,0.011970
2371,38,625.8489007982998,0.001772,678.5361025626946,0.002260,0.004032
2372,27,520.7692897927058,0.000898,615.885741650932,0.000897,0.001795
2373,88,1031.899967048516,0.009634,999.6654917470271,0.024323,0.033958
2374,70,902.8833358907375,0.006052,915.4171988487824,0.012481,0.018533
2375,75,934.378435641547,0.006984,955.8852125077752,0.015254,0.022238
2376,77,970.1589983267444,0.007353,1133.2324816477683,0.016407,0.023760
2377,45,761.0244705663039,0.002490,780.0463262055749,0.003597,0.006087
2378,29,669.8726340744929,0.001025,632.1806176468497,0.001103,0.002128
2379,68,863.5039776854916,0.005710,958.9494585093313,0.011611,0.017321
2380,81,928.0545485413389,0.008187,959.8589868639988,0.019071,0.027259
2381,27,570.5153242310682,0.000897,654.5578753776764,0.000898,0.001794
2382,59,871.5688319815298,0.004318,868.0631360711867,0.007949,0.012268
2383,61,849.8485373716306,0.004598,824.0701474463153,0.008425,0.013023
2384,37,732.7508044013522,0.002061,717.6109672339072,0.002120,0.004182
2385,64,898.0434127121148,0.005060,874.0976789173532,0.009611,0.014671
2386,24,569.7215648661427,0.000708,552.8011035366318,0.000651,0.001359
2387,42,700.8520950523064,0.002175,693.6259667824078,0.002992,0.005167
2388,23,596.3793300225802,0.000647,571.6652468963678,0.000589,0.001236
2389,46,742.9743002031706,0.002577,791.8478108479808,0.003887,0.006463
2390,50,642.1541684682591,0.003059,679.6054315348356,0.004825,0.007884
2391,86,1002.5541082772999,0.009510,1049.4466353132923,0.022938,0.032448
2392,31,636.0520708535158,0.001202,691.0229798344672,0.001319,0.002522
2393,25,424.6246970603486,0.000772,406.24124607127595,0.000795,0.001567
