n_nodes,filename,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
72,1573.1379310344828,904.444070233671,0.006527827586206896,941.3217720191141,0.01376541379310345,0.02029355172413793
73,1260.6285714285714,884.9351454161679,0.0067505428571428576,953.796140301925,0.014408085714285715,0.021158714285714284
74,1603.6333333333334,932.544266718671,0.006944566666666666,973.381886539792,0.014829566666666665,0.0217743
75,1368.7317073170732,922.8890160677295,0.007127463414634146,981.6020368478815,0.015531268292682926,0.022658926829268296
76,1542.6756756756756,940.0176776916751,0.007297972972972974,963.3883394021859,0.016086486486486484,0.02338445945945946
77,1365.4,942.6970537707482,0.00764908,977.9706562740101,0.016887680000000002,0.02453716
78,1401.967741935484,949.1124573514,0.007714,1005.9722896193341,0.01736241935483871,0.02507693548387097
79,1337.6944444444443,958.9597991090972,0.00789713888888889,998.9422921238327,0.018031277777777778,0.02592863888888889
80,1363.275,943.2498936911379,0.008064725,1015.5043073573343,0.0186261,0.026690975
81,1340.5405405405406,938.5887363884168,0.008362,988.466161620321,0.019408945945945943,0.02777127027027027
82,1098.0666666666666,955.451357110018,0.008594066666666667,1017.265149097637,0.020189566666666665,0.028783800000000002
83,1260.6666666666667,967.8025475077833,0.00875374074074074,1002.8476603986596,0.020820407407407406,0.029574518518518517
84,1509.5666666666666,974.7695594924593,0.008992066666666666,1021.1580151271023,0.021447833333333333,0.0304401
85,1240.896551724138,972.2794141565612,0.009302827586206897,1021.2288035034314,0.022331827586206898,0.031634862068965514
86,1362.52,988.6007828700854,0.00941472,1039.856586206823,0.023085,0.03249988
87,1323.7241379310344,979.0898730355937,0.009665758620689654,1029.1524348694359,0.023971137931034482,0.033637172413793104
88,1389.5277777777778,992.2389978536329,0.009808777777777777,1046.4667546012854,0.024579916666666667,0.034389
89,1324.53125,978.6077175622331,0.01004509375,1032.5455340769154,0.0254034375,0.0354486875
90,1393.3636363636363,1004.1509206563006,0.010248939393939394,1073.2684940339436,0.026234030303030304,0.036483303030303026
91,1318.8260869565217,1018.1888051584857,0.010533304347826088,1064.5173774096934,0.027132608695652174,0.037666217391304345
92,1277.6666666666667,1022.6859521266888,0.010749,1072.0838237008768,0.02802075,0.03877002777777778
93,1574.2333333333333,1007.1597625453632,0.011052066666666667,1073.0230004311784,0.028913833333333337,0.039966133333333334
94,1277.5945945945946,1023.9030683673714,0.011215594594594595,1063.2329046659881,0.029822216216216214,0.041037945945945946
95,1485.304347826087,1029.9943713843306,0.011417260869565219,1095.0706201649775,0.03063778260869565,0.042055260869565216
96,1666.0,1037.9917367769194,0.011609694444444445,1107.2737611213854,0.03147180555555555,0.04308186111111111
97,1568.71875,1036.6714353372747,0.011984156250000001,1088.6079178067573,0.03262359375,0.044608062500000004
98,1512.2272727272727,1049.6903424908717,0.012125272727272728,1108.5483310462346,0.033907704545454546,0.046033227272727274
99,1370.9722222222222,1053.4871265148167,0.012461083333333334,1126.4451940621302,0.03469322222222222,0.047154694444444444
100,1584.1555555555556,1065.3420988106975,0.012692266666666667,1132.0633423150064,0.0357752,0.04846771111111111
